Company,Description,Experience,Salary,Title
GECO Asia Pte Ltd,"Job Description We are looking for a Big Data Development Lead, who is/are able to fulfill the following requirements: Duration: Permanent Requirements: - 5-11 years solid hands-on experience with HADOOP, SPARK and HIVE using Java or SCALA. - Knowl Posted: a month ago",5-11 Years,Not Specified,Big Data Development Lead
Sciente Consulting Pte. Ltd,"Job Description : A very exciting opportunity for a Business Analyst who has experience in managing Data Analytics project, to join the Group Audit team in one of the leading Banks. Mandatory Skill(s) * Bachelor Degree in Computer Science or Inf Skills : Business Analyst , Business Analysis , Pmp , Data Analytics , Python , Tableau",6-9 Years,Not Specified,Business Analyst – Data Analytics
Sciente Consulting Pte. Ltd,"Job Description : An exciting opportunity for a strong leader to take care of Data Center related operations across multiple lines of business, leveraging industry best practices in a well-establishedbank. Mandatory Skill(s) * More than 10 years Skills : Vice President , Technology support , MVS/AS400 , Data Center , Data Center Management , UNIX , Wintel",10-13 Years,Not Specified,Vice President – Data Center
Sciente Consulting Pte. Ltd,"Skills : Application Lead , IT Application Lead , Application Developer , data engineering , Sql , Database Management Posted: a month ago",Not Specified,Job Description : Seeking a technicallyinclined & flexible IT Application Lead with strong interests & passion in data related opportunities. This is an exciting role to experience data related and/or engineering projects to integrate enterprise ap,Application Lead(Data Engineering)
Recruit Express Pte. Ltd,Skills : Administrative Support / Secretarial Posted: 20 hours ago,Not Specified,"Job Description : Job Scope: * Provide admin support for the departments * Printing and delivery of course notes, office admin work * Check and upload databases * Extracting of data, preparation of reports and administrative support for",*CENTRAL* 3 - 6 months Temp Admin Assistant (up to $10/hr / Immediate / Healthcare)
Recruit Express Pte. Ltd,"Skills : Administrative Support / Secretarial , Customer Service , Human Resource Posted: 20 hours ago",Not Specified,"Job Description : Job Scope: * Provide admin support for the departments * Printing and delivery of course notes, office admin work * Check and upload databases * Extracting of data, preparation of reports and administrative support for",Temp Admin Assistant (Immediate / Healthcare / Office Hrs / Islandwide)
Recruit Express Pte. Ltd,"Skills : Administrative Support / Secretarial , Human Resource Posted: 20 hours ago",Not Specified,"Job Description : Job Scope: * Provide admin support for the departments * Printing and delivery of course notes, office admin work * Check and upload databases * Extracting of data, preparation of reports and administrative support for",3 - 6 Months Temp Admin Assistant (Immediate / Islandwide)
Recruit Express Pte. Ltd,"Skills : Administrative Support / Secretarial , Human Resource Posted: 20 hours ago",Not Specified,"Job Description : Job Scope: * Provide admin support for the departments * Printing and delivery of course notes, office admin work * Check and upload databases * Answer queries through emails and calls * Extracting of data, preparat",3 - 6 Months Temp Admin Assistant x3 (Immediate / Islandwide)
Sciente Consulting Pte. Ltd,"Skills : Machine Learning Developer , Data Analyst , database design development , Data Analysis , Advanced Analytics Posted: a month ago",Not Specified,"Job Description : An exciting opportunity for Analytics professionals to deepen skill sets in Data Analysis for the Risk Management Group in one of the leading banks in Singapore. Mandatory Skill(s) * Bachelor’s degree, preferably in a field of",Machine Learning Developer
Recruit Express Pte. Ltd,"Skills : Administrative Support / Secretarial , Human Resource Posted: 20 hours ago",Not Specified,"Job Description : Job Scope: * Provide admin support for the departments * Printing and delivery of course notes, office admin work * Co-ordinate meetings and compile reports * Check and upload databases * Extracting of data, prepara",3 - 6 Months Temp Admin Assistant (Immediate / Healthcare / CENTRAL / up to $10/hr)
Sciente Consulting Pte. Ltd,"Job Description : An exciting opportunity for you awaits – Our client is an established company within financial services industry and they are looking for a Manager for Data Centre Operations to join their team in supporting their business and IT Skills : Project Management , vendor management , Access Management , Data Centre Operations , It Service Management",5-8 Years,Not Specified,"Manager, Data Centre Operations"
Sciente Consulting Pte. Ltd,"Job Description : Exciting opportunity to be a key member in supporting the implementation of a Group-Wide Management Information System for risk and performance calculations. Mandatory Skill(s) * Degree in Finance, Accounting, or Business; * Skills : Business Analyst , Performance Measurement , attribution , risk reporting , CIPM , FRM , CFA , Data Management",3-6 Years,Not Specified,Business Analyst (Data Management)
Techbridge Market Holdings Pte Ltd,"Data Analyst Skills : Data Analyst , Data Analysis , Software development.Python/R , Sql , Programming",1-7 Years,Not Specified,Data Analyst
Kerry Consulting Pte Ltd,"Skills : Director BA , Banking , Finance and Data Posted: 8 days ago",Not Specified,Job Description : Description This is a great opportunity to join one of the leading regional financial services players as a key driver in developing the data and finance capabilities. You will work closely with the Head of Enterprise Technology,"Director – BA, Banking, Finance and Data"
Sciente International Pte Ltd,"We have an excellent opportunity for a Technical Lead to be involved in Digital projects as part of Digital Transformation journey of a progressive organization. You will be leading and coaching software engineers in an Agile environment. Skills : vue.js , ""technical development"" , Java , J2EE , C# , ASP.NET , VB.NET , .NET , Spring , Hibernate , Struts , Mvc",5-15 Years,Not Specified,Technical Lead - Java/.NET
SnapHunt Pte Ltd,"Job Description : * Leadership and regional role * Be part of a global market leader in the industry * Flexible working options The Job As Product Management Lead, you will lead a team of data scientists to organise data and generate d Skills : Product Management Lead - AI",5-8 Years,Not Specified,Product Management Lead - AI
Kerry Consulting Pte Ltd,"Job Description : Description * Ambitious growth plans in Asia Pacific * Value creation focused * 5 to 7 years’ work experience This is a leading US asset management company, with ambitious growth plans in Asia Pacific and Singapore as i Skills : AVP/VP , Data Engineer , Asset Management",5-7 Years,Not Specified,"AVP/VP, Data Engineer, Asset Management"
SnapHunt Pte Ltd,"In this role you will be contributing to and driving continuous process improvement initiatives to meet business needs. Establishing project plans, resources, budgets and time-frames, and assigning tasks. Skills : IT Business Analyst , project plans , Business Analysis , Asset Management , Digital Transformation",3-7 Years,Not Specified,IT Business Analyst
Recruit Express Pte. Ltd,Skills : Administrative Support / Secretarial Posted: 20 hours ago,Not Specified,"Job Description : Job Scope: * Provide admin support for the departments * Printing and delivery of course notes, office admin work * Answering of calls and attending to emails * Check and upload databases * Extracting of data, prepa",Contract Admin / Customer Service Assistant (Immediate / up to $1800)
Kerry Consulting Pte Ltd,Skills : Real-Time Data Technical Delivery Manager Posted: 6 days ago,Not Specified,Job Description : Description I’m currently representing a leading Singapore based bank that is going through an exciting digital transformation and is tirelessly working towards providing a seamless digital user experience for its customers. The,Real-Time Data Technical Delivery Manager
Recruit Express Pte. Ltd,"Job Description : Job Description: • Develops and implements long-term supply chain strategies that address capacity issues, production location decisions, etc. in support of business growth. • Supports business execution to ensure supply plan ali Skills : Accounting / Auditing / Tax , Administrative Support / Secretarial , Banking & Finance , Chemist / Research Scientist",3-6 Years,Not Specified,"Supply Chain Planner (Sr Executive, Medical Device MNC, SAP)"
DXC Technology,"Application Architect Skills : Solution Architect , Technical Architect , Solution architecture , Solution Designer , Solutionconsultant",6-10 Years,Not Specified,Application Architect
Protemps Employment Services Pte Ltd,"Responsibilities * You will work with the Head of Department to ensure the smooth running of the operations in the A&E department, particularly the re- organization of Bed Management Unit. * You will be leading a team of Patient Services Assist Skills : Manager , A&E Department , data-analysis",5-8 Years,Not Specified,Manager (A&E Department)
DBS Bank Ltd,"Job Description : Business Function As the leading bank in Asia, DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking business, DBS has a full spect Skills : AVP , Senior Associate , Consumer Brand Marketing , consumer marketing , campaigns , Advertising",6-10 Years,Not Specified,"AVP/Senior Associate,DBS Consumer Brand Marketing, Consumer Banking Group"
Sciente Consulting Pte. Ltd,"Seeking a .Net developer with proficiency in SiteCore Development for one of the well established organizations in entertainment industry. Skills : Sitecore CMS , .NET , Cms , Asp.Net",2-7 Years,Not Specified,.Net Developer (SiteCore)
Sciente Consulting Pte. Ltd,"Exciting Opportunity as a Java Developer to develop large scale, enterprise and cutting-edge technology systems for the transportation industry across the Asia Pacific. Skills : Java developer , Java , J2EE , Jsp , Servlet , Jsf , RDBMS , Weblogic , Software Engineering , Software Engineer",0-2 Years,Not Specified,Java Developer
Sciente Consulting Pte. Ltd,"Job Description : Keen to lead in full-cycle project delivery whilst wanting to deepen your skill-set in business intelligence using the latest technologies? Our client in the financial sector is seeking an experienced project manager with strong b Skills : Analytics , Business Intelligence , Senior Project Manager , BI , Data Warehouse , Big Data , Data Analytics",5-8 Years,Not Specified,Senior Project Manager – Analytics / BI
Recruit Express Pte. Ltd,"Skills : Administrative Support / Secretarial , Others , Sales - Others Posted: 20 hours ago",Not Specified,Job Description : Job Scope: * Calling warm and cold leads * Up selling services * Admin duties - Data entry of details * Ad hoc duties Requirements: * Minimum A levels/ Diploma * Able to commit till End July/ End August * Ab,5 - 6 Months Telemarketers x 5 / $10 / Central
Atos Information Technology (Singapore) Pte Ltd,"The target of this Job Profile are Atos CyberSecurity Products: Evidian, Trustway and Horus (for further details please refer to https://atos.net/en/products/cyber-security) Skills : Sales Manager",2-5 Years,Not Specified,Cyber Security Product Sales Specialist
Recruit Express Pte. Ltd,Skills : Human Resource Posted: 20 hours ago,Not Specified,Job Description : *We are hiring under Recruitexpress headcount Job responsibilities: * Support the recruitment and selection of Contract roles ranging from entry to managerial level * Using of online job portals to data mine for suitable c,3 months HR Coordinator
Recruit Express Pte. Ltd,Skills : Administrative Support / Secretarial Posted: 20 hours ago,Not Specified,"Job Description : Job Scope: * Daily sales updates, daily submission, data entry and ad-hoc office administrative * Make follow up calls or emails to clients to chase for document submission * Ad hoc admin duties Requirements: * Minim",6 Months Bank Admin/ Central/East/ $1800
Kerry Consulting Pte Ltd,"Job Description : Description Our client is an award winning bank with strong presence across Asia Pacific. They are looking for seasoned IT Business Analyst for Finance (ERP & Data) to join its Technology and Operations division. This role will Skills : Business Analyst , IT Analyst , Data , Finance , Data CTB process , Banking , Erp",10-13 Years,Not Specified,"Business Analyst, Regional Bank"
Manpower Staffing Services (S) Pte Ltd,"Job Description : Job Scope: * Provide infrastructure and security monitoring/support for a 24x7 data centre. * Carry out service requests which include code deployment, restart servers - VM - backup - storage, manage batch job processing, pe Posted: 5 days ago",1-4 Years,"30,000-42,000 SGD",Data Centre Operator | 1-Year Contract | 24x7 shifting
Recruit Express Pte. Ltd,Skills : Sales - Others Posted: 20 hours ago,Not Specified,"Job Description : Temp Call Centre Assistant (1-3mths, Ext) Ref NCO * No experience required, training will be provided - Provide customer service assistance, handling of complain calls etc - Data entry duties - Friends are able to work together","Temp Call Centre Assistant (1-3mths, Ext) Ref NCO"
Jobline Resources Pte Ltd,"Responsibilities * Administration and management of IT Infrastructure and data centre support, which include basic systems, network, database and application support. * Respond to the incoming alerts (system triggered, e-mail etc.) * Manage, Skills : Datacentre Operator , Administration , Management , data centre support , It Infrastructure",2-5 Years,Not Specified,Datacentre Operator
Recruit Express Pte. Ltd,"Skills : Administrative Support / Secretarial , Healthcare - Nurse / Allied Healthcare , Healthcare - Pharmaceutical / Life Science / Medical Device / Clinical Research / Regulatory Affairs Posted: 20 hours ago",Not Specified,Job Description : WE ARE HIRING LONG TERM CONTRACT ADMIN ASSISTANT TO BE OUTSOURCED TO OUR CLIENTS IN THE HEALTHCARE INDUSTRY!Â Job Description: * General admin duties * Data-entry * Sorting and filing * Relevant duties in assigned dep,3 Months Contract Admin Assistant (Healthcare Industry) - HMZA
Sciente Consulting Pte. Ltd,"Skills : Digital , Business Analyst , data , SQL querie , Senior Business Analyst , Data Extraction Posted: a month ago",Not Specified,"Job Description : An exciting opportunity as a Senior Business Analyst involving digital, web, mobile and front-end related projects to transform the leading entertainment & hospitality business ! Mandatory Skill(s) * Degree in Computer Science,",Senior Business Analyst (Digital)
HCL Technologies Limited,"Should have 10 years in managing Information security operations experience with minimum of 5 years of experience in Information Security BAU operations work Skills : Qualsys CCS , MVM , Nessus , Siem , Mcafee Antivirus , Security Analyst",6-10 Years,Not Specified,IT Security
Recruit Express Pte. Ltd,Job Description : Job responsibilities * Develop applications that complement the Learning Management System that are LTI compatible or work with APIs to facilitate the exchange of data with existing or to-be-developed applications in the compan Skills : IT Applications (Software / ERP),5-8 Years,Not Specified,Senior Software Developer (Full Stack)
Talent Trader Group Pte Ltd,"Job Description : Job Description Responsibilities: * Responsible for big data ops architecture review, capacity planning, cost optimization, tracking and troubleshooting, and building a big data monitoring system to maintain overall stabilit Posted: 17 days ago",2-5 Years,Not Specified,Site Reliability Engineer (SRE)
Kerry Consulting Pte Ltd,"Job Description : Description My client is a leading Fintech company with ambitious growth plans in Asia Pacific and Singapore as its regional Asia Pacific headquarters. In line with their data-first vision, the company has already built their en Skills : Vp , Data Engineering Lead , Vice President , Data engineering manager , data Optimization , distributed databases",0-2 Years,Not Specified,"VP, Data Engineering Lead, Fintech"
Sciente Consulting Pte. Ltd,"Job Description : Our client is an established organization within the Banking & Financial Services domain. They are looking for a Technical Manager with proven track record to lead and implement Risk & Reporting applications within the Credit Tech Skills : Production Support , Analytics , Technical Manager , .NET , C# , Sql , Mvc , Java , Web Services , Agile , Big Data",8-11 Years,Not Specified,Technical Manager (Risk & Reporting)
Wsh experts Pte Ltd,Skills : Admin Assistant(MOE School)-Part time Posted: 18 days ago,Not Specified,Job Description : Jobs Roles & Responsibilities: * Customer Service at Reception Counter * Data Collation & Data Entry * Filing * Any other administrative related work Jobs Requirements: * Minimum ‘N’ Level with 3 passes or equiva,Admin Assistant(MOE School)-Part time
Wsh experts Pte Ltd,"Skills : MOE Research Officer , Life Science , general science , Science , Data Analysis , Data Management Posted: 18 days ago",Not Specified,"Job Description : Job Roles & Responsibilities The job position is offered for Research Officer, in the discipline of Life Science and General Science, for school Life Science Centre in Secondary School. The purpose of the job is to manage the Life",MOE Research Officer
Jobline Resources Pte Ltd,"Responsibilities * Work with stakeholders to understand needs for data structure, availability and accessibility * Advise on latest technologies, strategies, and products in database and data processing software * Develop complex code, scrip Skills : Systems Analyst (ETL) , Developing , implementing , maintaining data warehouse , troubleshoot ETL errors",3-5 Years,Not Specified,Senior Systems Analyst (ETL)
Xchanging Malaysia Sdn Bhd,"Skills : Data Science Intern , Python , C++ , RDBMS , Nosql Posted: a month ago",Not Specified,"Job Description : Job Description: Roles and Responsibilities ·Facilitate necessary research, preliminary analysis and documentation. ·Assist the DXC core team on building, establishing standard re-usable system components/frameworks. ·Assist in bu",Data Science Intern
Talent Trader Group Pte Ltd,"Job Description : Job Description Responsibilities: * Oversees Systems Upgrade and Patches and ensure all Network and Data Centre Infrastructure are current and up-to-date * Establish goals and priorities, design, planning and day-to-day o Posted: 17 days ago",1-4 Years,Not Specified,Network Operation Engineer (Data Center)
Sciente International Pte Ltd,"Seeking a dynamic Product Manager to build world-class customer experience product solutions for a leading organization in e-Commerce and ticketing services and solutions. Skills : Product Development , product life cycle , Product Management , Market Research , Market Analysis",5-15 Years,Not Specified,Product Manager
Manpower Staffing Services (S) Pte Ltd,"Job Description : Job Scope: The Tier 1 Data Center Technician will be working alongside operations leads in supporting installs, troubleshooting, and maintaining servers, networking equipment and cabling. Entry level of experience working with com Posted: 18 days ago",1-3 Years,"42,000-60,000 SGD",Data Center Technician | Available Immediately
Oracle Corporation Asia Pacific Division,Job Description : Preferred Qualifications Empowering and Accelerating the Modern Business with Integrated Cloud Applications and Platform Services Oracle is one of the largest global IT and Cloud solution provider. Oracle offers a comprehensive and Skills : Data Engineer - DW/BI @Oracle Applications Labs,2-5 Years,Not Specified,Data Engineer - DW/BI @Oracle Applications Labs
Sciente Consulting Pte. Ltd,"Skills : Senior Technical Developer , Relational Databases , Data analytics projects , Troubleshooting , Data Analysis Posted: a month ago",Not Specified,"Job Description : An excellent opportunityfor a Designer/Programmer to drive Data Analytics projects with an established organization within the Bankingand Financial Services domain. Mandatory Skill(s) * Degree in Computer Science, Computer Engi",Senior Technical Developer
CandidateAsia Group Pte Ltd,"Our Clients (MNCs) have immediate job openings for the following Banking & Finance divisions: Retail Banking, Commercial Banking, Trade & Corporate Banking, Correspondent Banking, Treasury & Private Banking, Investment Banking, etc. Skills : Credit Risk , Credit Control , Wealth Management , Client Relationship Management , Business Development",1-10 Years,Not Specified,Banking & Finance Professionals - Attractive Salary + CBD + Excellent Benefits
Sciente Consulting Pte. Ltd,"Skills : Senior IT Developer , PL /SQL , RDBMS database , Big Data , Talend Data Integration , Java , Python , Scala Posted: a month ago",Not Specified,"Job Description : Are you looking for the next challenge in your career? We have an exciting opportunity for a Senior IT Developer to be part of the regional technical team, supporting the development and implementation of a largescale regulatory a",Senior IT Developer
Sciente Consulting Pte. Ltd,"Skills : Director , Project Management , Enterprise Data Warehouse , Business Intelligence , Analytics reporting Posted: a month ago",Not Specified,Job Description : An excellent opportunity for an experienced Director / Asst Director who has rich exposure to Big Data and Artificial Intelligence to join one of the leading organization. Mandatory Skill(s) * Familiar with both Agile and Water,Director – Big Data & Artificial Intelligence
Sciente Consulting Pte. Ltd,"Skills : Project Management , Data Warehouse Posted: a month ago",Not Specified,"Job Description : Our client in the financial industry is looking for a strong project manager to manage large scale complex Data Warehouse Projects. Mandatory Skill(s) * Has at least 6years of Project Management experience, with proven track re",Senior Project Manager – Data Warehouse
PricewaterhouseCoopers LLP,Description: The Business Development department focuses the firm's market strategies around client issues in targeted client segments to drive revenue growth. We work across all lines of service and industries to act as the voice of the client thro Skills : Data Analyst (Strategy and Governance),1-3 Years,Not Specified,Data Analyst (Strategy and Governance)
Quinnox Solutions Pte Ltd,"Managing and implementing of medium scale IT projects with quality, within scope and to ensure deliverables are on time and conform to processes and standards meeting customer’s requirements. Skills : Application Project Manager , Budgeting , Pmp , Project Manager , It Project Manager",2-10 Years,Not Specified,"Project Manager, Banking/Financial"
Talent Trader Group Pte Ltd,"Senior Data Migration Analyst Skills : Senior Data Migration Analyst , Data Analysis , Pentaho , Oracle , Sql , UNIX/LINUX , DOS",1-4 Years,Not Specified,Senior Data Migration Analyst (Banking)
Wsh experts Pte Ltd,"Skills : Frontline , Admin Support , MOE School , customer service , General Administration Posted: 18 days ago",Not Specified,Job Description : Job Roles & Responsibilities * Front line customer service - Assist in Handling calls and walk-in-queries * Perform data entry * Assist in data collation for report preparation * Collate surveys administered by the Sch,Frontline cum AdminSupport (MOE School)
Talent Trader Group Pte Ltd,"Job Description : Job Description Responsibilities: * Oversees Systems Upgrade and Patches and ensure all Network and Data Centre Infrastructure are current and up-to-date * Establish goals and priorities, design, planning and day-to-day o Posted: 24 days ago",1-4 Years,Not Specified,Data Center Engineer (Shift Hour)
Sciente Consulting Pte. Ltd,"Our client is an established organization within leading e-commerce & ticketing industry. They are seeking a Network & Security Engineer to join their Singapore Infrastructure Team. Skills : Link Balancers , PAM , NGFW , PAM , IDS/IPS , Disaster Recovery. , Load Balancers , Firewalls , Routers , Switches",3-8 Years,Not Specified,Network & Security Engineer
Oracle Corporation Asia Pacific Division,"Perform application-layer penetration testing against Corporate and customer software applications and webservices deployed globally Skills : Penetration Testing , Oscp",5-15 Years,Not Specified,Principal Information Security Analyst (Penetration Tester)
Talent Trader Group Pte Ltd,"Job Description : Job Description Responsibilities: * Oversees Systems Upgrade and Patches and ensure all Network and Data Centre Infrastructure are current and up-to-date * Establish goals and priorities, design, planning and day-to-day o Posted: 23 days ago",1-4 Years,Not Specified,Data Center Engineer (Shift Hour)
Kelly Services (S) Pte Ltd - IT,Posted: a month ago APPLY,Not Specified,Responsibilties : • Complete survey via phone and field visit • Schedule interview appointments with respondents • Data entry for completed surveys • Status update report to supervisor • Conduct data verification of completed survey cases to ensure a,Outdoor Field Surveyor
APBA TG HUMAN RESOURCE PTE LTD,"Job Description : Job Requirements: 7+ years of experience in consulting and / or presales in an IT Service and software environment 5+ years of experience in SAP portfolio both software and services Experience with the company's product is an advan Skills : SAP Presales Expert , Consulting , presales , Software , SAP portfolio , DMD , Data Migration , Data Quality",7-10 Years,Not Specified,SAP Presales Expert
Sciente Consulting Pte. Ltd,"Job Description : We are looking for a Business Analyst with good business domain knowledge in Treasury & Markets space to propelnew Big Data & Analytics initiativeswithin the bank. Mandatory Skill(s) * Degreein Banking, Commerce or Information Skills : Business Analyst , Big Data & Analytics , Treasury & Markets , Data Analysis , R , Big Data , Microsoft Excel",5-8 Years,Not Specified,Business Analyst (Big Data & Analytics)
Sciente Consulting Pte. Ltd,"Skills : Data Strategy , Project Management , IT applications , Business Intelligence , Project Manager , Data Warehouse Posted: a month ago",Not Specified,"Job Description : Our client in the financial industry is looking for a strong project manager to manage large scale complex Data Warehouse, BI, Analytics Projects. Mandatory Skill(s) * Has at least 6years of Project Management experience, with",Senior Project Manager – Data Strategy
Sciente Consulting Pte. Ltd,"Job Description : Keen to use your strong technical skill set to drive, manage and deliver IT projects and initiatives for big data? Our client is looking for an experienced professional to lead and drive the organisation’s strategy in big data usa Skills : Senior Program Manager , Big Data",15-18 Years,Not Specified,"Senior Program Manager, Big Data"
Sciente Consulting Pte. Ltd,"Skills : Controls , Financial Services , stakeholders , Senior Manager , Data Governance Posted: a month ago",Not Specified,Job Description : Our client is seeking for a meticulous Senior Manager to be part of the Data Governance team. You will get to work collaboratively with and through all levels in the organisation to support the compliance of data governance initia,Senior Manager – Data Governance & Controls
Kerry Consulting Pte Ltd,"Skills : Management Consultant , Investment Management Data , Fund , Custody , Securities Services , Asset Management Posted: a month ago",Not Specified,Job Description : Description You will advise key clients on all topics for Asset Management (initially this will be on your strengths – either Asset Management Data management). You will be taught to Project Manage and hone your communication sk,"Management Consultant, Investment Management Data"
APBA TG HUMAN RESOURCE PTE LTD,"Job Description : Job Requirements: Must have over 3-5 years of experience especially in building the data warehouses and system analysis, design, development, testing and production, implementation. Should have strong experience with data warehousi Skills : Senior Developer , Design , Development , Production , Implementation , Etl , Data Management , Data Warehouse",3-5 Years,Not Specified,Senior Developer – ETL/Data Management
Sciente Consulting Pte. Ltd,"Data Business Analyst Skills : Data Business Analyst , Informaticaand Talend , Etl Tools , Abinitio , Qliksense , Qlikview , Hadoop",3-6 Years,Not Specified,Data Business Analyst
Recruit Express Pte. Ltd,"Job Description : Our Client, various healthcare MNCs and Public healthcare organizations are currently on a lookout for a 1. Deputy Director (Finance) 2. Finance Analyst/ Accountant Do feel free to drop us your resume and we'll get back to you s Skills : Accounting / Auditing / Tax , Administrative Support / Secretarial , Banking & Finance , Chemist / Research Scientist",10-13 Years,Not Specified,1. Deputy Director (Finance) 2. Finance Analyst/ Accountant (Healthcare Sector)
Sciente Consulting Pte. Ltd,"Skills : Business Intelligence Analyst , Business Intelligence , R , Data Analytics , Data Modeling , Blue Prism , Python Posted: a month ago",Not Specified,Job Description : A strategist looking for a dynamic and challenging environment to showcase your expertise in Business Intelligence and Data Analytics? Here’s an excellent opportunity for you to drive data modeling and automation with an establish,Business Intelligence Analyst
PricewaterhouseCoopers LLP,"Data Governance – Manager Skills : Manager , Risk Data and Analytics , Collibra , Data Governance , Informatica , Ibm",5-8 Years,Not Specified,Data Governance – Manager
Sciente Consulting Pte. Ltd,Posted: a month ago APPLY,Not Specified,"Job Description : An exciting opportunity for analytics professionals to work as Business Analyst cum Data Analyst in selected Corporate Credit Risk related projects in banking industry. Mandatory Skill(s) * Bachelor’s Degree in IT, Business, Ac",Business Data Analyst
Kelly Services (S) Pte Ltd - IT,Posted: a month ago APPLY,Not Specified,Responsibilties : • Checking through the foreign child application form to ensure all the personal particulars and immunisation data has meet the registry requirement. • Accurate entry of immunisation records and child & parents’ demographic data • M,Temporary Customer Sevice Assistant
Capita Pte Ltd,Skills : Temporary Customer Sevice Assistant Posted: a month ago,Not Specified,Responsibilties : • Checking through the foreign child application form to ensure all the personal particulars and immunisation data has meet the registry requirement. • Accurate entry of immunisation records and child & parents’ demographic data • M,Temporary Customer Sevice Assistant
Capita Pte Ltd,Skills : Outdoor Field Surveyor Posted: a month ago,Not Specified,Responsibilties : • Complete survey via phone and field visit • Schedule interview appointments with respondents • Data entry for completed surveys • Status update report to supervisor • Conduct data verification of completed survey cases to ensure a,Outdoor Field Surveyor
Sciente International Pte Ltd,"Our banking client is looking for an energetic Production Support leader with expertise in managing the business critical applications in payments and managing the incidents, problems and command centre team. Skills : Production Support , Team Lead , escalations , Application Support , Project Lead , Issue Management",8-18 Years,Not Specified,Payment Application Support Lead
Sciente Consulting Pte. Ltd,"Skills : Credit Risk Support , Banking , Financial , Credit Risk Reporting , Sql , Data Structures , Data Modelling Posted: a month ago",Not Specified,"Job Description : An established Bank is seeking for an independent, fast learner who is keen to support their Credit Risk team in monitoring and completing Credit Risk reports. Mandatory Skill(s) * Degree or Diploma in Information Technology, B",Credit Risk Support
Charterhouse Pte Ltd,"Hiring for Data Science Manager Skills : Data Science Manager , advance analytics , Data Science , Ml , Nlp , Deep Learning , Python , Sql , Big Data Technologies",6-8 Years,Not Specified,Data Science Manager
Kerry Consulting Pte Ltd,"Job Description : Description The Regional Data Loss Prevention (DLP) and Identity Access Management (IAM) Specialist will be responsible to implement and manage Global Identity and Access Management (IAM) solutions, Data Loss Prevention (DLP), S Posted: a month ago",5-8 Years,Not Specified,"Regional Data Loss Prevention (DLP) and Identity Access Management (IAM) Specialist, Asset Management Firm"
Wsh experts Pte Ltd,"Skills : Researcher , Socio-demographic data , r&d , Analyst , Research , Research Analyst Posted: 18 days ago",Not Specified,Job Description : Job Roles & Responsibilities * shall carry out the retrospective coding of casefiles of up to 900 * shall code and input data Âfrom casefiles into a database provided by the researchers-in-charge * Socio-demographic data,Researcher
Oracle Corporation Asia Pacific Division,"Job Description : Preferred Qualifications Job Title: Data Analyst - EMEA %26amp; APAC Digital Demand GenerationLocation: Bucharest, RomaniaReporting to: Senior Director Research and Analytics- EMEA %26amp; APAC Digital Demand Generation SUMMARY We Skills : Data Analyst - EMEA %26 APAC Digital Demand Generation",3-6 Years,Not Specified,Data Analyst - EMEA %26 APAC Digital Demand Generation
Recruit Express Pte. Ltd,"Job Description : Job Description Job Summary – * We are currently seeking a Validation Engineer to be responsible for conducting and delivering analytical and engineering studies to support cleaning validation, cleaning verification, thermal st Skills : Accounting / Auditing / Tax , Administrative Support / Secretarial , Banking & Finance , Chemist / Research Scientist",5-8 Years,Not Specified,"Validation Engineer (Pharma, DSC, SCADA and Delta-V or Siemens PCS systems)"
Anchor Search Group Pte Ltd,"Job Description : The Director of Hosting Services is required to manage a division of product managers and product specialists in charge of product development/management and pre-sales of Data Centre services in Singapore and in the region. Respons Skills : Director , Data Centre Hosting Services , Data Centre Operation , Data Center or global ICT products",10-13 Years,Not Specified,"Director, Data Centre Hosting Services"
GMP Technologies,"Job Description Collect test data, analyze data establish facts and draw valid conclusion. Support fab in resolving excursion, production abnormal handling. Report valid and accurate test result to internal and/or customers. Judge to release tester t Skills : Product Test Engineer , Data Analysis tool , Jmp",3-3 Years,Not Specified,Product Test Engineer (Shift-based)
Talent Trader Group Pte Ltd,"Senior Data Migration Analyst Skills : Senior Data Migration Analyst , Pentaho , Oracle , Sql , UNIX/LINUX , DOS",1-4 Years,Not Specified,Senior Data Migration Analyst (POS)
Sciente Consulting Pte. Ltd,"Job Description : An excellent job opportunity that utilize your Project Management expertise and experience in Data Analytics. Mandatory Skill(s) * Degree in Computer Science, Engineering orInformation Systems; * Has at least 8 years of Proj Skills : Application Manager , Analytics , Project Management , Project Implementation , Data Analytic , Business Intelligence",8-11 Years,Not Specified,Application Manager (Analytics)
Edge Asia Digital Services Sdn Bhd,"This position is responsible for back end development of public websites which uses Sitecore as a platform. It's a technical role that requires strong back end developer skills & experience. Skills : SITECORE Developer , Internet protocols , test-driven Agile , C#/VB.NET , Sitecore CMS , Azure , Scrum , web development",2-7 Years,Not Specified,SITECORE Developer
Wsh experts Pte Ltd,"Skills : Visualisation Developer , Big Data Specialist , javascript ES5 , Frontend , web development , Html5 , Es6 Posted: 18 days ago",Not Specified,"Job Description : Jobs Candidates Requirements: • Will be furnished Jobs Candidates Responsibility: • Proficient in web development stack (HTML5, javascript ES5/ES6, CSS/SASS/SCSS) • Proficient in D3js and related technologies • Experience in any fro",Frontend/Visualisation Developer (Big Data Specialist)
